Path,DSMdv,LC3,Avinf,Lcdate,TOF
32337,0.192,116.447,9.568,2030-12-28,14.72
32337,0.168,116.447,9.421,2030-12-28,14.81
32337,0.106,102.13,9.274,2030-12-26,14.89
32337,0.082,102.13,9.134,2030-12-26,14.98
32337,0.076,102.13,9.098,2030-12-26,15.0
32337,0.189,203.801,11.533,2030-12-28,14.81
32337,0.2,189.558,11.326,2031-01-01,14.88
32337,0.218,189.558,11.181,2031-01-01,14.94
32337,0.141,196.401,11.053,2030-12-30,15.0
32337,0.128,180.729,11.326,2030-12-26,14.89
32337,0.146,180.729,11.181,2030-12-26,14.95
32337,0.175,187.212,11.066,2030-12-28,15.0
32337,0.189,184.917,11.013,2031-01-05,15.0
32337,0.187,45.702,7.919,2031-01-09,14.77
32337,0.164,45.702,7.816,2031-01-09,14.85
32337,0.141,45.702,7.715,2031-01-09,14.94
32337,0.124,45.702,7.643,2031-01-09,15.0
32337,0.135,130.914,9.723,2031-01-23,14.57
32337,0.255,114.89,9.568,2031-01-25,14.65
32337,0.231,114.89,9.421,2031-01-25,14.73
32337,0.244,105.217,9.274,2031-01-29,14.8
32337,0.22,105.217,9.134,2031-01-29,14.88
32337,0.196,105.217,8.998,2031-01-29,14.96
32337,0.186,105.217,8.945,2031-01-29,15.0
32337,0.218,112.738,11.119,2031-02-04,14.87
32337,0.182,112.738,10.927,2031-02-04,14.95
32337,0.166,112.738,10.814,2031-02-04,15.0
32337,0.211,100.716,9.274,2031-02-02,14.79
32337,0.187,100.716,9.134,2031-02-02,14.87
32337,0.163,100.716,8.998,2031-02-02,14.95
32337,0.15,100.716,8.927,2031-02-02,15.0
32337,0.186,95.149,10.925,2031-02-14,14.92
32337,0.161,95.149,10.75,2031-02-14,15.0
32337,0.252,47.71,7.919,2031-03-28,14.56
32337,0.229,47.71,7.816,2031-03-28,14.64
32337,0.206,47.71,7.715,2031-03-28,14.72
32337,0.183,47.71,7.618,2031-03-28,14.81
32337,0.16,47.71,7.522,2031-03-28,14.89
32337,0.179,47.71,7.43,2031-03-28,14.97
