Path,Lcdate,Times,LC3,TOF,DSMdv,ArrivalVinf_Vector,Avinf,Adec
358 ,2031-02-28, 2031-02-28 2032-11-24 2042-08-30,88.257,11.50034223,0.035,[10.550638198852539 5.7119245529174805 -0.31744763255119324],12.002,8.380969364
358 ,2032-03-30, 2032-03-30 2033-08-19 2042-12-08,103.137,10.6899384,0.035,[10.705633163452148 5.414535999298096 -0.33475756645202637],12.002,9.028066384
358 ,2032-03-24, 2032-03-24 2033-08-19 2042-12-08,104.552,10.7063655,0.035,[10.705633163452148 5.414535999298096 -0.33475756645202637],12.002,9.028066384
358 ,2032-04-08, 2032-04-08 2033-08-19 2042-12-08,109.426,10.66529774,0.035,[10.705633163452148 5.414535999298096 -0.33475756645202637],12.002,9.028066384
358 ,2032-03-12, 2032-03-12 2033-08-19 2042-12-08,115.826,10.73921971,0.185000006,[10.705633163452148 5.414535999298096 -0.33475756645202637],12.002,9.028066384
358 ,2031-01-29, 2031-01-29 2032-11-24 2042-08-30,137.469,11.58247775,0.185000006,[10.550638198852539 5.7119245529174805 -0.31744763255119324],12.002,8.380969364
358 ,2033-04-24, 2033-04-24 2034-06-07 2043-05-22,163.185,10.07392197,0.035,[11.010263442993164 4.7667717933654785 -0.3522763252258301],12.003,10.46784205
358 ,2031-01-20, 2031-01-20 2032-11-12 2042-08-25,142.039,11.59342916,0.035,[10.549978256225586 5.720556259155273 -0.316194087266922],12.005,8.369601717
358 ,2031-01-26, 2031-01-26 2032-11-28 2042-08-30,215.869,11.59069131,0.035,[10.556941032409668 5.712124824523926 -0.31786784529685974],12.007,8.385902452
358 ,2033-05-27, 2033-05-27 2034-06-15 2043-05-27,167.061,9.997262149,0.035,[11.023894309997559 4.746639728546143 -0.35328957438468933],12.008,10.51398447
358 ,2033-05-27, 2033-05-27 2034-06-15 2043-05-27,167.061,9.997262149,0.035,[11.023894309997559 4.746639728546143 -0.35328957438468933],12.008,10.51398447
358 ,2032-04-05, 2032-04-05 2033-08-23 2042-12-08,105.217,10.67351129,0.035,[10.715645790100098 5.411322116851807 -0.33523106575012207],12.009,9.042704476
358 ,2032-04-17, 2032-04-17 2033-08-23 2042-12-08,127.611,10.64065708,0.035,[10.715645790100098 5.411322116851807 -0.33523106575012207],12.009,9.042704476
368 ,2025-05-06, 2025-05-06 2027-06-04 2035-04-19,223.866,9.950718686,0.934999976,[11.974708557128906 -0.904385507106781 -0.1677735298871994],12.01,21.78728821
368 ,2025-05-06, 2025-05-06 2027-06-04 2035-04-19,223.866,9.950718686,0.934999976,[11.974708557128906 -0.904385507106781 -0.1677735298871994],12.01,21.78728821
368 ,2025-05-12, 2025-05-12 2027-06-04 2035-04-19,224.381,9.934291581,0.335000012,[11.974708557128906 -0.904385507106781 -0.1677735298871994],12.01,21.78728821
368 ,2025-05-12, 2025-05-12 2027-06-04 2035-04-19,224.381,9.934291581,0.335000012,[11.974708557128906 -0.904385507106781 -0.1677735298871994],12.01,21.78728821
358 ,2031-02-07, 2031-02-07 2032-11-16 2042-08-25,92.821,11.54414784,0.185000006,[10.556174278259277 5.720925807952881 -0.31661373376846313],12.011,8.374110477
358 ,2031-01-29, 2031-01-29 2032-11-16 2042-08-25,121.429,11.5687885,0.185000006,[10.556174278259277 5.720925807952881 -0.31661373376846313],12.011,8.374110477
368 ,2025-05-06, 2025-05-06 2027-06-08 2035-04-24,221.682,9.96440794,0.934999976,[11.975388526916504 -0.9109384417533875 -0.16843420267105103],12.011,21.79389129
368 ,2025-05-06, 2025-05-06 2027-06-08 2035-04-24,221.682,9.96440794,0.934999976,[11.975388526916504 -0.9109384417533875 -0.16843420267105103],12.011,21.79389129
368 ,2025-05-12, 2025-05-12 2027-06-08 2035-04-24,222.28,9.947980835,0.335000012,[11.975388526916504 -0.9109384417533875 -0.16843420267105103],12.011,21.79389129
368 ,2025-05-12, 2025-05-12 2027-06-08 2035-04-24,222.28,9.947980835,0.335000012,[11.975388526916504 -0.9109384417533875 -0.16843420267105103],12.011,21.79389129
