Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20261025,15.52,322238,14.67,14.07,13,25
20261025,15.34,322238,14.68,14.07,13,35
20261029,17.71,322238,14.66,14.07,13,15
20271130,17.83,3358,14.25,8.85,13,35
20280407,7.8,33358,14.37,8.48,13,15
20280407,2.8,33358,14.37,8.48,13,35
20280412,3.51,33358,14.34,8.48,13,25
20290319,20.57,33458,12.69,8.4,13,15
20290320,20.76,33458,14.48,8.49,12,15
20290505,2.76,33358,12.97,8.98,13,25
20290505,2.35,33358,12.97,8.98,13,35
20290513,3.04,33358,14.86,8.94,12,35
20291023,18.83,32358,13.98,8.99,12,25
20300425,17.05,3358,11.44,9.05,13,35
20300428,18.69,3358,11.42,9.05,13,25
20300429,17.63,3358,13,8.98,12,35
20300430,19.01,3358,13,8.84,12,25
20300505,23.46,3358,11.39,9.06,13,15
20300510,25.37,3358,12.95,8.98,12,15
20310203,51.36,3458,10.12,8.37,13,25
20310204,49.2,3458,11.38,8.37,12,35
20310204,48.49,3458,10.12,8.38,13,35
20310205,58.02,3458,10.11,8.37,13,15
20320316,57.59,358,9.17,9.37,13,35
20320318,62.5,358,9.16,9.35,13,25
