Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20261215,52.29,322238,14.39,14.09,13,35
20280402,51.66,3358,13.65,8.76,13,25
20280403,51.43,3358,13.65,8.76,13,35
20280405,51.74,3358,14.39,8.48,13,15
20290216,51.75,3358,14.66,8.49,12,15
20290501,51.93,33458,12.5,8.39,13,35
20290504,51.77,3358,12.49,8.39,13,15
20290506,51.34,3358,14.23,8.36,12,25
20290506,51.24,3358,14.22,8.47,12,35
20290506,51.93,3358,12.48,8.39,13,25
20300325,51.04,3358,11.57,9.07,13,25
20300331,64.02,3358,11.54,9.07,13,15
20300404,68.81,3358,13.14,9,12,15
20300611,50.99,3358,12.79,8.98,12,35
20300611,51.28,3358,11.25,9.06,13,35
20300613,54.57,3358,14.68,8.94,11,35
20300614,57.53,3358,12.79,8.85,12,25
20300619,65.14,3358,14.65,8.94,11,25
20300628,86.22,3358,14.59,8.93,11,15
20310208,67.84,3458,12.88,8.29,11,25
20310208,66.6,3458,11.37,8.24,12,25
20310208,64.97,3458,11.36,8.37,12,35
20310208,66.07,3458,10.1,8.37,13,25
20310208,64.11,3458,10.1,8.37,13,35
20310209,66.28,3458,12.87,8.41,11,35
20310209,68.43,3458,10.1,8.36,13,15
20310210,68.32,3458,14.69,8.5,10,35
20310224,91.29,3358,14.61,8.49,10,15
20320324,81.6,358,9.14,9.35,13,35
20320325,84.28,358,11.57,9.07,11,35
20320325,85.43,358,10.24,9.18,12,25
20320325,82.72,358,10.24,9.19,12,35
20320325,84.27,358,9.14,9.34,13,25
20320326,89.24,358,13.18,8.86,10,25
20320326,86.54,358,13.18,9,10,35
20320326,86.9,358,11.57,8.92,11,25
20320327,90.44,358,10.23,9.17,12,15
20320327,89.21,358,9.13,9.33,13,15
20320410,111.22,3358,11.5,9.07,11,15
20330503,101.05,358,8.56,11.35,13,35
20330504,104.68,358,10.69,10.76,11,35
20330504,106.33,358,9.52,10.78,12,25
20330504,102.66,358,9.52,11.04,12,35
20330504,104.72,358,8.55,11.34,13,25
20330505,108.41,358,10.68,10.74,11,25
20330506,111.73,358,8.55,11.32,13,15
