Path,Times,Lcdate,Arrival Date,LC3,TOF,DSMdv,ArrivalVinf_Vector,Avinf,Adec
367 , 2025-04-06 2028-08-17 2032-12-25,4/6/2025,12/25/32,223.783,7.71937029,0.93499998,[-1.6601841449737549 13.383893966674805 0.43552637100219727],13.493,-68.3890115
367 , 2025-04-06 2028-08-17 2032-12-25,4/6/2025,12/25/32,223.783,7.71937029,0.93499998,[-1.6601841449737549 13.383893966674805 0.43552637100219727],13.493,-68.3890115
367 , 2025-04-06 2028-08-21 2033-01-04,4/6/2025,1/4/33,223.052,7.7467488,0.93499998,[-1.655523419380188 13.313080787658691 0.43409812450408936],13.423,-68.371745
367 , 2025-04-06 2028-08-21 2033-01-04,4/6/2025,1/4/33,223.052,7.7467488,0.93499998,[-1.655523419380188 13.313080787658691 0.43409812450408936],13.423,-68.371745
367 , 2025-04-06 2028-09-06 2033-02-08,4/6/2025,2/8/33,220.242,7.84257358,0.93499998,[-1.639940619468689 13.080150604248047 0.4293905198574066],13.19,-68.3146225
367 , 2025-04-06 2028-09-06 2033-02-08,4/6/2025,2/8/33,220.242,7.84257358,0.93499998,[-1.639940619468689 13.080150604248047 0.4293905198574066],13.19,-68.3146225
367 , 2025-04-06 2028-09-06 2033-02-28,4/6/2025,2/28/33,220.242,7.8973306,0.93499998,[-1.6271474361419678 12.901786804199219 0.42481815814971924],13.011,-68.2747479
367 , 2025-04-06 2028-09-06 2033-02-28,4/6/2025,2/28/33,220.242,7.8973306,0.93499998,[-1.6271474361419678 12.901786804199219 0.42481815814971924],13.011,-68.2747479
367 , 2025-04-06 2028-09-10 2033-02-18,4/6/2025,2/18/33,219.568,7.86995209,0.93499998,[-1.6353877782821655 13.011689186096191 0.42811867594718933],13.121,-68.2971231
367 , 2025-04-06 2028-09-10 2033-02-18,4/6/2025,2/18/33,219.568,7.86995209,0.93499998,[-1.6353877782821655 13.011689186096191 0.42811867594718933],13.121,-68.2971231
367 , 2025-04-06 2028-09-22 2033-03-20,4/6/2025,3/20/33,224.493,7.95208761,0.785,[-1.6204715967178345 12.808978080749512 0.4236689507961273],12.918,-68.2512093
367 , 2025-04-06 2028-09-22 2033-03-20,4/6/2025,3/20/33,224.493,7.95208761,0.785,[-1.6204715967178345 12.808978080749512 0.4236689507961273],12.918,-68.2512093
367 , 2025-04-06 2028-09-26 2033-03-30,4/6/2025,3/30/33,223.895,7.97946612,0.785,[-1.6158703565597534 12.74244499206543 0.42193296551704407],12.851,-68.2352041
367 , 2025-04-06 2028-09-26 2033-03-30,4/6/2025,3/30/33,223.895,7.97946612,0.785,[-1.6158703565597534 12.74244499206543 0.42193296551704407],12.851,-68.2352041
367 , 2025-04-06 2028-10-04 2033-04-29,4/6/2025,4/29/33,222.732,8.06160164,0.785,[-1.5998344421386719 12.525973320007324 0.4171646535396576],12.635,-68.1844648
367 , 2025-04-06 2028-10-04 2033-04-29,4/6/2025,4/29/33,222.732,8.06160164,0.785,[-1.5998344421386719 12.525973320007324 0.4171646535396576],12.635,-68.1844648
367 , 2025-04-06 2028-10-08 2033-04-24,4/6/2025,4/24/33,222.168,8.04791239,0.785,[-1.6040452718734741 12.588132858276367 0.4186844825744629],12.697,-68.2004868
367 , 2025-04-06 2028-10-08 2033-04-24,4/6/2025,4/24/33,222.168,8.04791239,0.785,[-1.6040452718734741 12.588132858276367 0.4186844825744629],12.697,-68.2004868
367 , 2025-04-06 2028-10-20 2033-05-24,4/6/2025,5/24/33,220.544,8.13004791,0.785,[-1.5890319347381592 12.39476490020752 0.41463443636894226],12.503,-68.1565186
367 , 2025-04-06 2028-10-20 2033-05-24,4/6/2025,5/24/33,220.544,8.13004791,0.785,[-1.5890319347381592 12.39476490020752 0.41463443636894226],12.503,-68.1565186
367 , 2025-04-06 2028-10-24 2033-06-03,4/6/2025,6/3/33,220.025,8.15742642,0.785,[-1.5836915969848633 12.331169128417969 0.4131668508052826],12.439,-68.1436799
367 , 2025-04-06 2028-10-24 2033-06-03,4/6/2025,6/3/33,220.025,8.15742642,0.785,[-1.5836915969848633 12.331169128417969 0.4131668508052826],12.439,-68.1436799
367 , 2025-04-06 2028-11-05 2033-07-03,4/6/2025,7/3/33,218.537,8.23956194,0.785,[-1.567731261253357 12.14322566986084 0.4087936580181122],12.251,-68.1057681
367 , 2025-04-06 2028-11-05 2033-07-03,4/6/2025,7/3/33,218.537,8.23956194,0.785,[-1.567731261253357 12.14322566986084 0.4087936580181122],12.251,-68.1057681
367 , 2025-04-06 2028-11-17 2033-07-23,4/6/2025,7/23/33,224.713,8.29431896,0.63500002,[-1.5577044486999512 12.038641929626465 0.4066193997859955],12.146,-68.0884112
367 , 2025-04-06 2028-11-17 2033-07-23,4/6/2025,7/23/33,224.713,8.29431896,0.63500002,[-1.5577044486999512 12.038641929626465 0.4066193997859955],12.146,-68.0884112
367 , 2025-04-06 2028-11-21 2033-08-07,4/6/2025,8/7/33,224.282,8.33538672,0.63500002,[-1.549147129058838 11.93825912475586 0.4042064845561981],12.045,-68.0676531
367 , 2025-04-06 2028-11-21 2033-08-07,4/6/2025,8/7/33,224.282,8.33538672,0.63500002,[-1.549147129058838 11.93825912475586 0.4042064845561981],12.045,-68.0676531
367 , 2025-04-30 2027-11-03 2031-03-11,4/30/2025,3/11/31,222.644,5.86036961,0.18500001,[-1.8114248514175415 19.27103614807129 0.5494054555892944],19.364,-70.0026781
367 , 2025-04-30 2027-11-03 2031-03-11,4/30/2025,3/11/31,222.644,5.86036961,0.18500001,[-1.8114248514175415 19.27103614807129 0.5494054555892944],19.364,-70.0026781
367 , 2025-04-30 2027-11-19 2031-04-15,4/30/2025,4/15/31,219.356,5.95619439,0.18500001,[-1.8131134510040283 18.875213623046875 0.5423718094825745],18.97,-69.8935614
367 , 2025-04-30 2027-11-19 2031-04-15,4/30/2025,4/15/31,219.356,5.95619439,0.18500001,[-1.8131134510040283 18.875213623046875 0.5423718094825745],18.97,-69.8935614
367 , 2025-04-30 2027-12-05 2031-05-20,4/30/2025,5/20/31,216.564,6.05201916,0.18500001,[-1.813201665878296 18.4910831451416 0.535358726978302],18.587,-69.7876218
367 , 2025-04-30 2027-12-05 2031-05-20,4/30/2025,5/20/31,216.564,6.05201916,0.18500001,[-1.813201665878296 18.4910831451416 0.535358726978302],18.587,-69.7876218
367 , 2025-04-30 2027-12-21 2031-06-24,4/30/2025,6/24/31,214.271,6.14784394,0.18500001,[-1.8125253915786743 18.118419647216797 0.5288541316986084],18.217,-69.6821777
367 , 2025-04-30 2027-12-21 2031-06-24,4/30/2025,6/24/31,214.271,6.14784394,0.18500001,[-1.8125253915786743 18.118419647216797 0.5288541316986084],18.217,-69.6821777
367 , 2025-04-30 2028-01-02 2031-07-19,4/30/2025,7/19/31,224.177,6.21629021,0.035,[-1.8120455741882324 17.864410400390625 0.5243905782699585],17.964,-69.6078614
367 , 2025-04-30 2028-01-02 2031-07-19,4/30/2025,7/19/31,224.177,6.21629021,0.035,[-1.8120455741882324 17.864410400390625 0.5243905782699585],17.964,-69.6078614
367 , 2025-04-30 2028-01-06 2031-07-29,4/30/2025,7/29/31,212.483,6.24366872,0.18500001,[-1.8102127313613892 17.75643539428711 0.5219506025314331],17.856,-69.581028
367 , 2025-04-30 2028-01-06 2031-07-29,4/30/2025,7/29/31,212.483,6.24366872,0.18500001,[-1.8102127313613892 17.75643539428711 0.5219506025314331],17.856,-69.581028
