Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20250413,3.95,33367,8.99,76.81,12,25
20250526,3.09,3367,7.75,74.55,12,35
20250630,3.91,337,8.55,80.17,11,35
20260614,17.9,337,8.61,80.15,10,25
20260622,5.68,337,8.53,82.28,12,35
20260710,8.72,3367,8.61,77.09,11,25
20260726,17.53,3367,7.17,78.19,12,15
20260812,12.13,337,8.32,79.69,10,35
20260827,9.99,3367,8.19,80.04,12,25
20270601,17.12,3367,8.77,76.96,10,25
20270607,16.55,337,6.45,79.54,12,25
20270701,3.28,3367,7.2,80.69,12,35
20270730,11.71,3367,7.12,78.11,11,35
20270801,12.06,3367,8.46,77.05,10,35
20280528,12.15,3367,7.3,80.63,11,35
20280813,21.83,337,7.1,81.57,12,35
20280818,12.33,3367,8.22,80.03,10,35
20280818,27.23,337,7.08,81.62,12,25
20280902,18.2,3367,8.16,80.06,10,25
20290614,12.64,337,8.53,80.04,10,35
20290629,18.04,337,8.48,80.1,10,25
20290712,10.32,337,8.37,73.26,12,25
20290907,5.69,327,8.46,78.4,11,35
20291106,0.83,337,7.95,73.67,12,35
20300327,6.14,3357,10.13,46.63,12,15
20300730,2.69,32237,9.94,68.42,11,25
20300827,11.67,337,7.03,79.15,11,35
20300908,16.63,337,6.18,81.05,12,25
20301112,3.24,32357,10.86,46.88,11,15
20301116,3.18,32357,9.01,46.48,12,35
20310620,0.86,33357,8.26,47.81,12,35
20310706,17.73,337,8.4,73.08,10,25
20310723,3.26,3337,8.22,65.4,12,25
20310729,1.2,332237,8.32,70.37,11,15
20310729,6.75,3337,8.2,65.39,12,15
20310906,12.41,337,8.11,73.57,10,35
20310923,1.09,332237,8.12,70.69,11,25
20311030,0.3,332237,7.99,71,11,35
20320421,3.01,32237,6.52,75.09,12,25
20320422,1.74,32237,6.52,75.12,12,35
20320423,3.13,32237,7.43,72.25,11,25
20320424,1.77,32237,7.42,72.3,11,35
20320425,3.43,32237,7.42,72.27,11,15
20320427,3.25,32237,8.68,69.73,10,25
20320429,3.82,32237,8.67,69.8,10,15
20320429,1.97,32237,8.68,69.81,10,35
20320706,17.37,3357,6.84,48.54,12,15
20321207,10.7,32237,7.86,71.28,10,25
20321215,1.18,3357,7.56,48.17,11,35
20321231,6.91,32237,7.77,71.22,10,35
20330118,13.45,32237,9.11,68.92,9,25
20330728,10.76,3357,6.07,54.83,12,35
20330802,14.47,3357,6.06,54.86,12,25
20330804,14.65,3357,7.13,53.04,11,25
20330815,17.85,3357,6.03,54.94,12,15
20330816,17.98,3357,7.09,53.1,11,15
20330817,18.13,3357,8.5,51.73,10,15
20340125,8.22,3357,7.86,52.55,10,35
20340713,16.52,337,6.24,66.44,12,25
20340714,18.37,3357,7.05,61.54,11,25
20340717,17.13,337,8.27,60.7,10,25
20340915,31.48,3347,6.86,59.16,12,15
20340923,7.93,32337,9.5,45.88,12,35
20341012,3.2,3347,7.88,56.08,11,35
20341208,23.9,3347,6.64,59.51,12,15
20350905,10.54,3347,6.08,62.05,12,35
20350906,10.7,3347,6.88,58.89,11,35
20350908,11.17,3347,8,56.13,10,35
20350914,14.55,3347,6.05,61.94,12,25
20350917,14.93,3347,6.85,58.86,11,25
20350923,15.59,3347,7.95,56.16,10,25
20351006,19.66,3347,6.8,59.04,11,15
20360305,7.75,32337,8.74,42.53,12,25
20360714,12.37,337,6.22,58.06,12,35
20360718,12.65,337,7.05,54.88,11,35
20360719,12.86,337,8.21,52.08,10,35
20360722,16.69,337,7.03,54.75,11,25
20360725,17,337,8.2,52.01,10,25
20360807,22.23,337,7,55.1,11,15
20361023,13.96,337,7.8,44.47,12,15
