Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20250425,7.37,33367,8.93,76.84,12,35
20250504,22.58,33367,8.88,76.87,12,15
20250505,17.41,33367,8.88,76.87,12,25
20250813,33.63,337,8.3,79.57,11,25
20250818,39.54,337,8.3,79.5,11,15
20250928,19.15,3367,8.71,73.81,11,35
20260518,37.63,3367,9.38,73.55,10,15
20260529,24.5,3367,9.33,73.58,10,25
20260615,29.88,3367,11.34,72.71,9,25
20260624,21.63,337,8.57,80.12,10,35
20260803,35.2,3367,7.11,78.13,12,25
20260807,38.93,3367,7.1,78.14,12,15
20260812,30.31,337,8.3,81.79,11,35
20260813,21.75,3367,10.89,72.75,9,35
20260815,33.12,337,8.27,81.82,11,25
20260817,20.13,337,7.17,81.09,12,35
20260821,39.26,337,8.27,81.77,11,15
20270531,42.66,3367,8.78,76.96,10,15
20270623,27.95,3367,8.68,77.04,10,25
20270711,35.24,3367,10.46,76.05,9,25
20270809,29.93,3367,7.04,80.71,12,35
20270810,30.17,3367,8.25,80.01,11,35
20270816,33.33,3367,8.2,79.95,11,25
20270816,35.03,3367,7.02,80.72,12,25
20270822,20.19,3367,8.37,77.11,10,35
20270822,39.01,3367,7,80.73,12,15
20270823,39.27,3367,8.21,80.04,11,15
20270905,24.89,3367,10.06,76.1,9,35
20280624,20.33,3367,8.5,79.98,10,35
20280714,13.17,337,8.39,77.04,12,35
20280720,26.06,337,10.09,81.47,9,35
20280723,34.89,3367,8.39,80.04,10,25
20280807,50.36,3367,8.33,80.07,10,15
20280820,30.16,337,8.22,80.44,11,35
20280823,32.95,337,8.19,80.42,11,25
20280829,39.1,337,8.19,80.42,11,15
20290707,21.32,337,8.45,80.09,10,35
20290827,30.57,337,8.18,77.41,11,35
20290831,33.35,337,8.14,77.44,11,25
20290905,39.02,337,8.14,77.41,11,15
20291012,32.58,337,9.54,79.11,9,35
20291027,6.04,323357,10.95,46.91,12,35
20291028,6.84,323357,10.95,46.91,12,15
20291129,3.38,33357,10.77,46.84,12,25
20300706,31.39,337,10.06,71.49,10,35
20300721,2.26,332357,9.57,46.54,12,25
20300728,25.65,337,10,75.34,9,35
20300728,3.66,32237,9.95,68.42,11,35
20300809,1.3,332357,9.49,46.55,12,35
20300915,3.42,332357,13.62,48.18,10,25
20301113,3.55,32357,10.83,46.83,11,25
20301127,7.79,32357,8.96,46.48,12,15
20301128,7.99,32357,10.8,46.84,11,15
20310111,7.43,322237,7.74,71.54,12,15
20310506,4,332237,7.39,72.27,12,25
20310612,0.79,332237,7.28,72.57,12,35
20310619,0.95,332237,8.47,70.04,11,35
20310713,6.68,33357,9.93,47.55,11,15
20310714,12.87,32357,11.61,47.16,10,25
20310714,1.53,332237,8.36,70.27,11,25
20310716,21.1,337,8.37,73.15,10,35
20310719,13.5,32357,11.57,47.14,10,15
20310731,25.4,337,9.96,71.45,9,35
20320227,15.92,32237,7.6,71.85,11,15
20320422,3.84,32237,6.52,75.06,12,35
20320424,3.91,32237,7.42,72.22,11,35
20320425,5.1,32237,8.67,69.77,10,25
20320425,4.05,32237,7.41,72.29,11,25
20320428,4.03,32237,8.68,69.71,10,35
20320511,23.18,32237,8.63,69.89,10,15
20320522,7.99,33357,7.4,52.88,12,15
20320712,20.07,3357,12.25,47.6,9,25
20320715,22.09,3357,12.23,47.6,9,15
20320801,4.38,33357,7.14,53.03,12,25
20320805,25.5,337,9.9,67.32,9,35
20321205,15.77,32237,7.86,71.16,10,25
20330105,18.08,32237,11.14,67.22,8,35
20330124,16.64,32237,7.69,71.24,10,35
20330126,17.93,32237,9.07,68.97,9,35
20330810,16.7,3357,6.04,54.91,12,35
20330814,17.15,3357,7.1,53.09,11,35
20330817,19.75,3357,6.02,54.95,12,25
20330818,19.97,3357,7.08,53.11,11,25
20330821,20.58,3357,10.37,50.78,9,25
20330822,22.62,3357,6.01,55,12,15
20330824,23.15,3357,7.07,53.15,11,15
20330827,24.41,3357,8.46,51.77,10,15
20330906,28.1,3357,10.28,50.82,9,15
20331206,53.36,3237,7.86,70.93,9,25
20340726,20.68,337,8.24,60.72,10,35
20340813,24.64,337,9.8,58.79,9,35
20340913,29.79,3347,7.99,56.36,11,35
20340916,34.27,3347,7.98,56.39,11,25
20340917,34.51,3347,9.53,54.15,10,25
20340920,37.95,3347,7.96,56.4,11,15
20340922,38.18,3347,9.51,54.19,10,15
20340929,10.9,32337,9.48,45.98,12,35
20341018,15.76,32337,9.39,46.15,12,25
20341024,17.04,32337,9.36,46.31,12,15
20350916,43.71,3347,6.06,62.05,12,15
20350924,16.81,3347,6.03,61.99,12,35
20350925,17.1,3347,6.83,58.84,11,35
20350928,17.32,3347,7.93,56.06,10,35
20351002,38.35,337,7.9,52.84,11,15
20351006,40.13,337,9.38,50.71,10,15
20351006,20.46,3347,6.8,58.91,11,25
20351012,23.97,3347,6,62.11,12,25
20351014,21.07,3347,9.4,53.93,9,35
20351031,31.07,3347,7.82,56.31,10,25
20351112,40.02,3347,9.26,54.16,9,25
20360306,8.16,32337,8.74,42.57,12,35
20360307,9.17,32337,8.74,42.6,12,15
20360307,9.1,32337,8.73,42.56,12,25
20360308,8.3,32337,10.58,40.59,11,35
20360310,9.28,32337,10.57,40.66,11,25
20360404,18.84,32337,10.43,40.94,11,15
20360803,20.36,337,8.17,52.03,10,35
20360815,40.46,337,9.7,45.73,10,15
20360927,37.74,3347,9.33,47.19,10,25
