Lcdate,LC3,Path,Avinf,Adec,TOF,P0
20250516,92.52,367,10.51,67.87,9,35
20250518,97,367,10.52,67.72,9,25
20250608,51.4,3367,7.69,74.58,12,25
20250609,51.32,3367,11.37,72.5,10,25
20250609,51.46,3367,9.26,73.59,11,25
20250613,50.53,3367,11.34,72.68,10,35
20250618,61.76,3367,7.65,74.6,12,15
20250622,65.57,3367,9.2,73.62,11,15
20250705,50.67,337,8.52,79.94,11,35
20250903,50.68,337,7.1,77.38,12,35
20260526,70.25,3367,8.79,76.93,11,15
20260528,92.9,367,9.35,69.05,9,35
20260528,65.15,3367,7.36,77.99,12,15
20260529,95.71,367,11.3,68.76,8,35
20260530,97.13,367,9.35,68.85,9,25
20260604,103.91,367,7.79,69.52,10,15
20260622,50.14,3367,8.65,76.85,11,25
20260622,51.12,3367,7.27,78.06,12,25
20260628,50.59,3367,10.52,75.98,10,35
20260703,56.88,3367,10.48,75.84,10,25
20260824,50.48,3367,7.04,78.17,12,35
20260825,49.99,3367,8.35,77.12,11,35
20270608,77.96,3367,8.56,79.93,11,15
20270609,71.4,3367,7.26,80.65,12,15
20270611,96.41,367,10.12,70.68,8,35
20270611,93.86,367,8.36,71.39,9,35
20270612,97.92,367,8.35,71.17,9,25
20270613,100.52,367,10.11,70.49,8,25
20270615,105.63,367,8.34,71.38,9,15
20270615,104.07,367,6.98,72.22,10,15
20270624,56.15,3367,8.47,79.89,11,25
20270625,54.15,3367,7.21,80.68,12,25
20270804,70.58,337,9.97,81.6,10,25
20270907,50.35,3367,8.14,80.06,11,35
20270908,50.03,3367,6.95,80.75,12,35
20270921,61.94,3367,9.67,79.24,10,35
20280615,81.6,337,8.53,80.24,11,15
20280624,95.66,367,7.64,74.63,9,35
20280625,98.06,367,9.19,73.64,8,35
20280625,99.56,367,7.61,74.42,9,25
20280626,101.99,367,9.17,73.43,8,25
20280626,70.73,337,10.15,78.89,10,25
20280627,105.14,367,6.43,75.7,10,15
20280628,109.47,367,9.16,73.62,8,15
20280628,106.9,367,7.61,74.61,9,15
20280628,59.57,337,8.45,80.22,11,25
20280629,58.18,337,7.26,81.65,12,25
20280718,49.89,337,8.4,80.35,11,35
20280728,69.42,337,8.33,77.13,12,15
20280917,50.65,337,7,81.67,12,35
20281015,73.89,3367,9.64,81.26,10,35
